type,id,name,gender,person,description
way,466919165,Rue Saint-François - Rue Émile Vandervelde,F,,
way,474541414,Rue Isabelle Gatti de Gamond,F,,
way,520778799,Avenue Reine Astrid,F,,
way,520778800,Avenue Reine Astrid,F,,
way,550457780,Rue Bonne Espérance - Rue de Farciennes,F,,
way,603299704,Allée des Croisades - Rue Bertransart,F,,
way,603299705,Allée des Croisades - Rue Bertransart,F,,
way,608639590,Rue Hubert Bouvry - Rue de Piéton,F,,
way,609488245,Rue Jules Tison - Rue Oscar Carlier,F,,
way,612061547,Rue de la Croix - Rue de Châtelineau,F,,
way,612277947,Chaussée de Châtelet - Rue de Gilly,F,,
way,612277953,Rue Lison - Rue du Corbeau,F,,
way,612559488,Rue de la Plateure - Rue du Fayt,F,,
way,613395682,Avenue de Spirou - Rue de la Sablonnière,F,,
way,613993187,Chaussée de Charleroi - Rue de la Flaminette,F,,
way,614780809,Rue Trou à la Vigne - Rue Auguste Sottiaux,F,,
way,614780810,Rue Trou à la Vigne - Rue Auguste Sottiaux,F,,
way,617210505,Rue Marguerite Yourcenar,F,,
way,617210506,Rue Marguerite Yourcenar,F,,
way,617397280,Baty de Melonsart - Rue Baty de Melonsart,F,,
way,656714053,Rue de Moignelée - Rue de Fleurus,F,,
way,667936170,Avenue Reine Astrid,F,,
way,667936171,Avenue Reine Astrid,F,,
way,827281779,Rue Margot de Hainaut,F,,
way,839334545,Rue Camille Auquit,F,,
way,844424518,Rue de Trazegnies (Ouest) - Rue Paul Janson (Est),F,,
way,845876316,Giratoire Marie La Guerre,F,,
way,845876317,Giratoire Marie La Guerre,F,,
way,845876318,Giratoire Marie La Guerre,F,,
way,845876319,Giratoire Marie La Guerre,F,,
way,845876320,Giratoire Marie La Guerre,F,,
way,845876321,Giratoire Marie La Guerre,F,,
way,846256840,Avenue Reine Astrid,F,,
way,916720675,Rue Sarah Vanderkhove,F,,
way,971348647,Rue Marguerite Depasse,F,,
way,971348648,Rue Marguerite Depasse,F,,
way,1019045376,Rue de Trazegnies (Ouest) - Rue Paul Janson (Est),F,,
way,1019383333,Chaussée de Châtelet - Rue de Gilly,F,,
way,1019663489,Rue de la Blanche Borne,F,,
way,1049590272,Rue Reine Astrid,F,,
way,1094967685,Ruelle marie Chinon,F,,
way,1152006901,Rue de la Blanche Borne,F,,
way,1152006902,Rue de la Blanche Borne,F,,
way,1168875646,Rue de la Blanche Borne,F,,
way,1168875647,Rue de la Blanche Borne,F,,
way,1168875648,Rue de la Blanche Borne,F,,
way,1168875649,Rue de la Blanche Borne,F,,
way,8092555,Rue Léon Burny,M,,
way,8092613,Rue Maurice Burlet,M,,
way,14331823,Rue Armand Staquet,M,,
way,23000954,Avenue Emile Stassart,M,,
way,23079898,Square Jules Hiernaux,M,,
way,23079909,Boulevard Joseph Tirou,M,,
way,23099973,Rue Auguste Scohy,M,,
way,23154869,Rue Raymond Clabecq,M,,
way,23154884,Rue Arnold Lanciers,M,,
way,23154896,Rue Léon Terwagne,M,,
way,23311603,Rue Joseph Lefebvre,M,,
way,23315799,Rue François Demoiny,M,,
way,27668087,Rue Jules Hoebeke,M,,
way,27668340,Rue Réné Bernier,M,,
way,27668351,Rue Félicien Molle,M,,
way,28000354,Avenue Henri Pétrez,M,,
way,28009962,Rue François Givron,M,,
way,28009966,Rue Henri Loriaux,M,,
way,28010234,Rue Gaston Boudin,M,,
way,28511341,Rue Thomas Bonehill,M,,
way,28538017,Avenue Georges Lemaître,M,,
way,28538020,Rue Louis Blériot,M,,
way,28538021,Rue Louis Blériot,M,,
way,28538023,Avenue Georges Lemaître,M,,
way,28538024,Avenue Georges Lemaître,M,,
way,28538026,Avenue Jean Mermoz,M,,
way,28538027,Avenue Jean Mermoz,M,,
way,28538028,Avenue Jean Mermoz,M,,
way,28538029,Avenue Jean Mermoz,M,,
way,28538118,Rue Auguste Piccard,M,,
way,29252871,Rue Léopold III,M,,
way,29252874,Rue Adolphe Debienne,M,,
way,29252875,Rue Adolphe Debienne,M,,
way,29252888,Rue François Givron,M,,
way,29253001,Rue Georges Theys,M,,
way,29277912,Rue Edmond Aubry,M,,
way,29277942,Rue Xavier Dumont de Chassart,M,,
way,29381102,Rue Joseph Lhoir,M,,
way,29381511,Rue Rodolphe Delval,M,,
way,29556997,Rue Joseph Lhoir,M,,
way,29558804,Rue Francisco Ferrer,M,,
way,30007909,Rue Winston Churchill,M,,
way,30169527,Rue Winston Churchill,M,,
way,30173552,Rond-Point Jean Govaerts,M,,
way,30391437,Rue Maximilien Wattelar,M,,
way,30595107,Square Jean Dardenne,M,,
way,30595108,Rue Charles Dupret,M,,
way,30659736,Avenue Maurice Autequitte,M,,
way,30685055,Rue Francisco Ferrer,M,,
way,31137159,Rue Jules Destrée,M,,
way,31782468,Rue Louis Blériot,M,,
way,31811213,Place Roi Baudouin,M,,
way,31853599,Rue Les Bois,M,,
way,31859633,Rue Joseph Wauters,M,,
way,31870156,Rue Joseph Martin,M,,
way,31870157,Rue Konrad Adenauer,M,,
way,31891128,Rue Président John Kennedy,M,,
way,31891137,Rue Jules Destrée,M,,
way,31969022,Rue Joseph Martin,M,,
way,31970587,Rue Francisco Ferrer,M,,
way,31976290,Rue Joseph Wauters,M,,
way,32019024,Rue Ernest Praile,M,,
way,32040843,Rue Auguste Scohy,M,,
way,32439940,Rue Arthur Baudhuin,M,,
way,33141838,Rue Léon Mercier,M,,
way,33141878,Rue Léon Burny,M,,
way,33142099,Rue Herbert Hoover,M,,
way,33142644,Rue Edouard Lacroix,M,,
way,33142645,Rue Gaston Wautot,M,,
way,33854360,Rue Paul Pastur,M,,
way,33854402,Place Albert 1er,M,,
way,33854408,Place Albert 1er,M,,
way,35322722,Rue Emile Vandervelde,M,,
way,35326918,Rue Joseph Wauters,M,,
way,35923411,Rue Léon Dubray,M,,
way,36547480,Cité Constant Druine,M,,
way,36548447,Rue Philippe Monnoyer,M,,
way,37681858,Rue Alexandre Lepage,M,,
way,37681862,Rue Edmond Foulon,M,,
way,37795824,Rue Émile Vandervelde,M,,
way,38156997,Rue Herbert Hoover,M,,
way,38156998,Rue Auguste Sottiaux,M,,
way,38160096,Rue Fernand Bernard,M,,
way,38162808,Rue Émile Vandervelde,M,,
way,38210157,Rue Albert Ier,M,,
way,38213977,Rue Major Housiau,M,,
way,39667136,Rue Clément Ader,M,,
way,39667142,Rue Charles Lindberg,M,,
way,39667143,Rue Louis Breguet,M,,
way,39667535,Avenue Georges Lemaître,M,,
way,39855114,Rue Hector Gratia,M,,
way,39855115,Rue Hector Gratia,M,,
way,42270027,Rue Jean Monnet,M,,
way,43137152,Rue Jules Destrée,M,,
way,49381281,Boulevard Gustave Roullier,M,,
way,49381289,Rue Léon Bernus,M,,
way,49381343,Boulevard Joseph II,M,,
way,49381349,Boulevard Alfred de Fontaine,M,,
way,49381371,Rue Émile Tumelaire,M,,
way,49384612,Rue Patrice Lumumba,M,,
way,49388483,Boulevard Émile Devreux,M,,
way,49389366,Rue Arthur Regniers,M,,
way,49391310,Rue Willy Ernst,M,,
way,49393373,Boulevard Pierre Mayence,M,,
way,49393400,Boulevard Joseph Tirou,M,,
way,50586135,Rue Joseph Lefebvre,M,,
way,51413394,Rue Albert 1er,M,,
way,51426897,Rue Carlo Hénin,M,,
way,51427932,Rue Albert 1er,M,,
way,52474966,Quai Paul Verlaine,M,,
way,52474971,Rue Albert Brachet,M,,
way,52887347,Boulevard Frans Dewandre,M,,
way,53122315,Rue Francisco Ferrer,M,,
way,53122320,Rue Francisco Ferrer,M,,
way,55465109,Rue Poète Charles Michel,M,,
way,56045312,Rue Jos Grégoire,M,,
way,56045321,Rue Paul Vassart,M,,
way,56045330,Place Albert 1er,M,,
way,56045339,Place Charles Gailly,M,,
way,57914143,Rue Jean-Baptiste Cuinié,M,,
way,57914144,Rue Jean-Baptiste Vanpetegem,M,,
way,58205593,Rue François Duray,M,,
way,58205595,Rue François Duray,M,,
way,58205598,Chemin Raymond Neffe,M,,
way,58205599,Rue Victor Vandekerkhove,M,,
way,58205605,Rue Jean Ligny,M,,
way,58379184,Rue Henry Debeaume,M,,
way,58731395,Rue Omer Lison,M,,
way,58731396,Rue Georges Delersy,M,,
way,58731408,Rue Albert 1er,M,,
way,58731414,Rue Augustin Duvivier,M,,
way,58808176,Rue Jules Destrée,M,,
way,59752060,Rue Alfred Langlois,M,,
way,60110833,Boulevard Gustave Roullier,M,,
way,60110834,Boulevard Gustave Roullier,M,,
way,60110837,Boulevard Gustave Roullier,M,,
way,60111784,Allée du Beau Chéniat,M,,
way,60113414,Rue Florian Montagne,M,,
way,60124288,Rue Jean Hublou,M,,
way,60170806,Boulevard Pierre Mayence,M,,
way,60184555,Boulevard Joseph Tirou,M,,
